Endgame,White,Parameter,Move,Evaluation_Function,Nodes_Number,Time
0,True,5,1,0,267,5.00991
0,True,5,2,10,300,5.02069
0,True,5,3,10,239,5.00813
0,True,5,4,10,275,5.00402
0,True,5,5,10,244,5.02035
0,True,5,6,60,261,5.01636
0,True,5,7,60,284,5.01987
0,True,5,8,60,266,5.01795
0,True,5,9,60,279,5.00534
0,True,5,10,150,300,5.00732
0,True,5,11,150,317,5.03081
0,True,5,12,150,310,5.01445
0,True,5,13,100,350,5.01905
0,True,5,14,100,359,5.01854
0,True,5,15,100,344,5.03235
0,True,5,16,100,368,5.03686
0,True,5,17,100,381,5.01325
0,True,5,18,100,353,5.00919
0,True,5,19,100,366,5.03191
0,True,5,20,100,331,5.02381
0,True,5,21,100,363,5.02682
0,True,5,22,100,335,5.03209
0,True,5,23,100,374,5.02167
0,True,5,24,100,327,5.02385
0,True,5,25,100,350,5.02434
0,True,5,26,100,396,5.03649
0,True,5,27,100,421,5.01754
0,True,5,28,100,470,5.01937
0,True,5,29,90,522,5.02874
0,True,5,30,90,518,5.01985
0,True,5,31,90,447,5.02671
0,True,5,32,90,469,5.02682
0,True,5,33,90,481,5.02805
0,True,5,34,90,458,5.0351
0,True,5,35,90,456,5.02552
0,True,5,36,90,481,5.02774
0,True,5,37,90,465,5.03558
0,True,5,38,90,449,5.03668
0,True,5,39,90,472,5.02993
0,True,5,40,90,393,5.04274
0,True,5,41,90,414,5.03016
0,True,5,42,90,465,5.03613
0,True,5,43,90,426,5.03338
0,True,5,44,10,469,5.03546
0,True,5,45,10,501,5.03971
0,True,5,46,10,467,5.04571
0,True,5,47,10,448,5.04351
0,True,5,48,10,444,5.05145
0,True,5,49,10,454,5.04513
0,True,5,50,10,434,5.04199
0,True,5,51,10,461,5.04576
0,True,5,52,10,523,5.04082
0,True,5,53,10,571,5.06488
0,True,5,54,10,509,5.05693
0,True,5,55,10,520,5.05911
0,True,5,56,10,571,5.04584
0,True,5,57,100,610,5.06343
0,True,5,58,100,702,5.07062
0,True,5,59,100,713,5.05802
0,True,5,60,100,646,5.05116
0,False,4,1,0,194,4.00927
0,False,4,2,10,224,4.02764
0,False,4,3,10,238,4.00507
0,False,4,4,10,213,4.01096
0,False,4,5,10,208,4.00965
0,False,4,6,60,217,4.00411
0,False,4,7,60,226,4.01028
0,False,4,8,60,244,4.01343
0,False,4,9,60,214,4.01272
0,False,4,10,150,259,4.0069
0,False,4,11,150,257,4.02709
0,False,4,12,100,251,4.01725
0,False,4,13,100,298,4.03033
0,False,4,14,100,266,4.01749
0,False,4,15,100,258,4.02335
0,False,4,16,100,303,4.02806
0,False,4,17,100,275,4.01518
0,False,4,18,100,276,4.02604
0,False,4,19,100,271,4.03149
0,False,4,20,100,263,4.03123
0,False,4,21,100,297,4.02471
0,False,4,22,100,291,4.02887
0,False,4,23,100,295,4.02648
0,False,4,24,100,260,4.02797
0,False,4,25,100,286,4.02684
0,False,4,26,100,338,4.03414
0,False,4,27,100,345,4.03053
0,False,4,28,90,391,4.03381
0,False,4,29,90,358,4.04066
0,False,4,30,90,404,4.04582
0,False,4,31,90,368,4.04182
0,False,4,32,90,370,4.04245
0,False,4,33,90,370,4.04416
0,False,4,34,90,380,4.05724
0,False,4,35,90,361,4.05557
0,False,4,36,90,468,4.04851
0,False,4,37,90,364,4.05592
0,False,4,38,90,360,4.04455
0,False,4,39,90,339,4.04528
0,False,4,40,90,343,4.0488
0,False,4,41,90,389,4.04192
0,False,4,42,90,393,4.05021
0,False,4,43,10,314,4.04714
0,False,4,44,10,374,4.05197
0,False,4,45,10,398,4.06517
0,False,4,46,10,410,4.04679
0,False,4,47,10,353,4.04279
0,False,4,48,10,347,4.04475
0,False,4,49,10,362,4.0583
0,False,4,50,10,364,4.05541
0,False,4,51,10,363,4.07231
0,False,4,52,10,450,4.06801
0,False,4,53,10,382,4.10632
0,False,4,54,10,459,4.05429
0,False,4,55,10,421,4.05826
0,False,4,56,10,454,4.06266
0,False,4,57,100,538,4.05266
0,False,4,58,100,601,4.10349
0,False,4,59,100,538,4.11446
