Endgame,White,Parameter,Move,Evaluation_Function,Nodes_Number,Time
0,False,3,1,10,166,3.003
0,False,3,2,10,166,3.00957
0,False,3,3,60,214,3.00923
0,False,3,4,140,274,3.00366
0,False,3,5,220,395,3.00676
0,False,3,6,230,531,3.01308
0,False,3,7,230,530,3.01636
0,False,3,8,230,609,3.01235
0,False,3,9,230,601,3.0142
0,False,3,10,230,662,3.02324
0,False,3,11,230,665,3.02012
0,False,3,12,230,706,3.02065
0,False,3,13,230,706,3.02492
0,False,3,14,230,704,3.02636
0,False,3,15,230,750,3.02455
0,False,3,16,230,737,3.03201
0,False,3,17,230,747,3.0416
0,False,3,18,230,783,3.02856
0,False,3,19,230,781,3.03466
0,False,3,20,230,823,3.03201
0,False,3,21,230,851,3.0365
0,False,3,22,230,892,3.04648
0,False,3,23,230,910,3.05745
0,False,3,24,230,968,3.04692
0,False,3,25,230,961,3.05605
0,False,3,26,230,993,3.05173
0,False,3,27,230,1036,3.05614
0,False,3,28,230,1022,3.06673
0,False,3,29,230,1041,3.05749
0,False,3,30,230,44,3.08207
1,False,3,1,10,135,3.01691
1,False,3,2,10,125,3.02445
1,False,3,3,20,130,3.00983
1,False,3,4,20,128,3.01199
1,False,3,5,20,130,3.01969
1,False,3,6,20,139,3.03323
1,False,3,7,30,157,3.03004
1,False,3,8,30,143,3.0195
1,False,3,9,30,147,3.00732
1,False,3,10,30,141,3.01724
1,False,3,11,30,142,3.00645
1,False,3,12,30,141,3.0166
1,False,3,13,30,128,3.00741
1,False,3,14,30,104,3.03529
1,False,3,15,-50,76,3.0197
1,False,3,16,40,102,3.02795
1,False,3,17,40,122,3.01794
1,False,3,18,50,92,3.02178
1,False,3,19,60,118,3.0064
1,False,3,20,60,107,3.00597
1,False,3,21,60,144,3.0199
1,False,3,22,60,116,3.02139
1,False,3,23,70,129,3.02979
1,False,3,24,70,164,3.01014
1,False,3,25,70,116,3.01976
1,False,3,26,70,170,3.00211
1,False,3,27,70,174,3.01289
1,False,3,28,70,200,3.01165
1,False,3,29,70,209,3.01055
1,False,3,30,70,194,3.00743
1,False,3,31,70,202,3.00427
1,False,3,32,70,209,3.01768
1,False,3,33,70,214,3.03773
1,False,3,34,70,211,3.0052
1,False,3,35,70,210,3.00424
1,False,3,36,70,213,3.01451
1,False,3,37,70,210,3.00751
1,False,3,38,70,210,3.02135
1,False,3,39,70,208,3.01558
1,False,3,40,70,238,3.01129
1,False,3,41,70,199,3.01144
1,False,3,42,150,170,3.01525
1,False,3,43,150,191,3.02967
1,False,3,44,150,226,3.01624
1,False,3,45,150,169,3.02509
1,False,3,46,150,214,3.0282
1,False,3,47,150,235,3.01199
1,False,3,48,150,253,3.02619
1,False,3,49,150,249,3.01711
1,False,3,50,150,252,3.04005
1,False,3,51,150,248,3.01727
1,False,3,52,150,248,3.03103
1,False,3,53,150,280,3.0057
1,False,3,54,150,262,3.01937
1,False,3,55,150,282,3.01478
1,False,3,56,150,284,3.01805
1,False,3,57,150,336,3.01636
1,False,3,58,150,332,3.01129
