Endgame,White,Parameter,Move,Evaluation_Function,Evaluation_Number,Time
0,True,5,1,50,37915,2.9169
0,True,5,2,20,39549,2.55462
0,True,5,3,220,28985,2.34607
0,True,5,4,230,56409,3.41998
0,True,5,5,1120,57726,2.30498
0,True,5,6,1130,140014,12.2324
0,True,5,7,1130,196447,7.86752
0,True,5,8,1130,174496,6.74254
0,True,5,9,1130,179559,6.56796
0,True,5,10,1130,179902,7.04106
0,True,5,11,1130,177748,6.78678
0,True,5,12,1130,179507,7.05198
0,True,5,13,1130,156356,6.30596
0,True,5,14,1130,179507,7.32537
0,True,5,15,1130,156356,6.59464
0,True,5,16,1130,179507,7.70249
0,True,5,17,1130,156356,6.84333
0,True,5,18,1130,179507,8.17276
0,True,5,19,1130,156356,7.20579
0,True,5,20,1130,179507,8.3699
0,True,5,21,1130,156356,7.39811
0,True,5,22,1130,179507,8.62749
0,True,5,23,1130,156356,7.73556
0,True,5,24,1130,179507,9.03057
0,True,5,25,1130,156356,7.98788
0,True,5,26,1130,179507,9.31083
0,True,5,27,1130,156356,8.40172
0,True,5,28,1130,179507,9.76113
0,True,5,29,1130,156356,8.62498
0,True,5,30,1130,6707,0.501655
0,True,5,31,1130,62,0.0047609
1,True,5,1,20,2208,0.128507
1,True,5,2,20,2732,0.146151
1,True,5,3,30,1552,0.11098
1,True,5,4,30,1471,0.09288
1,True,5,5,20,2462,0.162616
1,True,5,6,30,982,0.0709297
1,True,5,7,30,2018,0.146213
1,True,5,8,40,1748,0.115427
1,True,5,9,30,2493,0.189584
1,True,5,10,40,1464,0.0922815
1,True,5,11,40,788,0.0591109
1,True,5,12,40,1204,0.0805805
1,True,5,13,40,852,0.0659646
1,True,5,14,40,1149,0.098285
1,True,5,15,40,852,0.11831
1,True,5,16,50,4450,0.632006
1,True,5,17,60,3241,0.26041
1,True,5,18,70,5862,0.801546
1,True,5,19,140,6222,0.762711
1,True,5,20,150,5442,0.490393
1,True,5,21,150,5747,0.396293
1,True,5,22,150,4418,0.382651
1,True,5,23,150,5493,0.436434
1,True,5,24,150,8337,0.857867
1,True,5,25,150,5842,0.452859
1,True,5,26,150,8499,1.33293
1,True,5,27,150,5842,0.448934
1,True,5,28,150,8337,0.593298
1,True,5,29,150,5842,0.386263
1,True,5,30,150,8489,0.551581
1,True,5,31,150,5842,0.435196
1,True,5,32,150,8407,0.627906
1,True,5,33,150,6228,0.44958
1,True,5,34,150,8407,0.569991
1,True,5,35,150,6228,0.462117
1,True,5,36,150,8364,0.631051
1,True,5,37,150,6228,0.452529
1,True,5,38,150,8364,0.626992
1,True,5,39,150,6228,0.547688
1,True,5,40,150,8364,0.657719
1,True,5,41,150,6054,0.488986
1,True,5,42,150,19616,1.89172
1,True,5,43,230,55301,4.85888
1,True,5,44,230,48453,3.83642
1,True,5,45,230,41411,4.84612
1,True,5,46,230,47361,4.48184
1,True,5,47,230,37438,2.96458
1,True,5,48,230,48453,3.63723
1,True,5,49,230,38920,3.05992
1,True,5,50,230,48453,3.68227
1,True,5,51,230,38920,3.17691
1,True,5,52,230,48453,3.7876
1,True,5,53,230,41411,3.337
1,True,5,54,230,52148,4.12501
1,True,5,55,230,38617,3.15308
1,True,5,56,230,46462,3.82642
1,True,5,57,230,39799,3.35027
1,True,5,58,230,52148,4.34632
1,True,5,59,230,36797,3.13923
1,True,5,60,230,52148,4.57932
1,True,5,61,230,38617,3.4086
1,True,5,62,230,52148,5.04912
1,True,5,63,230,41411,4.05483
1,True,5,64,230,45707,4.2553
1,True,5,65,230,41411,4.37285
1,True,5,66,230,48453,4.824
