Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Evaluations,Total_Time,Oppo_Total_Num,Oppo_Total_Time
0,Minimax,2,True,Minimax,1,0,1,0,29,1861,0.165342,461,0.019636
0,Minimax,2,True,Minimax,1,0,1,0,29,1861,0.157312,461,0.0189704
0,Minimax,2,True,Minimax,1,0,1,0,29,1861,0.153781,461,0.0188378
0,Minimax,2,True,Minimax,1,0,1,0,29,1861,0.158654,461,0.0192456
0,Minimax,2,True,Minimax,1,0,1,0,29,1861,0.153045,461,0.0177926
0,Minimax,2,True,Minimax,1,0,1,0,29,1861,0.172462,461,0.0212281
0,Minimax,3,True,Minimax,1,1,0,0,33,64120,3.64722,777,0.0367611
0,Minimax,3,True,Minimax,1,1,0,0,33,64120,3.5992,777,0.0371302
0,Minimax,3,True,Minimax,1,1,0,0,33,64120,3.48646,777,0.0333571
0,Minimax,3,True,Minimax,1,1,0,0,33,64120,3.3392,777,0.0317456
0,Minimax,3,True,Minimax,1,1,0,0,33,64120,3.30444,777,0.0338207
0,Minimax,3,True,Minimax,1,1,0,0,33,64120,3.31962,777,0.0327001
0,Minimax,3,True,Minimax,2,1,0,0,82,173642,11.6577,8220,0.695271
0,Minimax,3,True,Minimax,2,1,0,0,82,173642,11.6598,8220,0.720431
0,Minimax,3,True,Minimax,2,1,0,0,82,173642,11.6602,8220,0.703767
0,Minimax,3,True,Minimax,2,1,0,0,82,173642,11.7504,8220,0.730336
0,Minimax,3,True,Minimax,2,1,0,0,82,173642,11.7039,8220,0.729471
0,Minimax,3,True,Minimax,2,1,0,0,82,173642,11.6711,8220,0.718008
0,Minimax,4,True,Minimax,1,1,0,0,181,306230,95.6184,540,0.118378
0,Minimax,4,True,Minimax,1,1,0,0,181,306230,95.4773,540,0.114261
0,Minimax,4,True,Minimax,1,1,0,0,181,306230,95.1356,540,0.113758
0,Minimax,4,True,Minimax,1,1,0,0,181,306230,95.9405,540,0.1187
0,Minimax,4,True,Minimax,1,1,0,0,181,306230,95.8682,540,0.115661
0,Minimax,4,True,Minimax,1,1,0,0,181,306230,95.1999,540,0.117584
0,Minimax,4,True,Minimax,2,1,0,0,5,88194,3.78036,401,0.0173585
0,Minimax,4,True,Minimax,2,1,0,0,5,88194,3.73856,401,0.0176291
0,Minimax,4,True,Minimax,2,1,0,0,5,88194,3.7746,401,0.0167201
0,Minimax,4,True,Minimax,2,1,0,0,5,88194,3.74515,401,0.0207709
0,Minimax,4,True,Minimax,2,1,0,0,5,88194,3.77778,401,0.0185611
0,Minimax,4,True,Minimax,2,1,0,0,5,88194,3.74779,401,0.0167097
0,Minimax,4,True,Minimax,3,0,0,1,27,177145,8.8439,83984,3.82689
0,Minimax,4,True,Minimax,3,0,0,1,27,177145,8.8571,83984,3.7759
0,Minimax,4,True,Minimax,3,0,0,1,27,177145,8.81738,83984,3.76417
0,Minimax,4,True,Minimax,3,0,0,1,27,177145,8.75675,83984,3.76607
0,Minimax,4,True,Minimax,3,0,0,1,27,177145,8.78111,83984,3.77996
0,Minimax,4,True,Minimax,3,0,0,1,27,177145,8.88235,83984,3.7954
0,Minimax,5,True,Minimax,1,1,0,0,33,1607969,72.0223,119,0.0062937
0,Minimax,5,True,Minimax,1,1,0,0,33,1607969,71.8418,119,0.0068736
0,Minimax,5,True,Minimax,1,1,0,0,33,1607969,71.7663,119,0.0066566
0,Minimax,5,True,Minimax,1,1,0,0,33,1607969,71.9431,119,0.0067551
0,Minimax,5,True,Minimax,1,1,0,0,33,1607969,70.9213,119,0.0066844
0,Minimax,5,True,Minimax,1,1,0,0,33,1607969,70.8149,119,0.0064709
0,Minimax,5,True,Minimax,2,1,0,0,28,1514363,88.7041,5886,0.399591
0,Minimax,5,True,Minimax,2,1,0,0,28,1514363,88.7513,5886,0.397483
0,Minimax,5,True,Minimax,2,1,0,0,28,1514363,89.2473,5886,0.402334
0,Minimax,5,True,Minimax,2,1,0,0,28,1514363,89.1526,5886,0.399401
0,Minimax,5,True,Minimax,2,1,0,0,28,1514363,88.5262,5886,0.393806
0,Minimax,5,True,Minimax,2,1,0,0,28,1514363,89.3963,5886,0.411688
0,Minimax,5,True,Minimax,3,1,0,0,32,893740,43.0555,7827,0.388511
0,Minimax,5,True,Minimax,3,1,0,0,32,893740,43.2019,7827,0.396961
0,Minimax,5,True,Minimax,3,1,0,0,32,893740,43.0877,7827,0.406086
0,Minimax,5,True,Minimax,3,1,0,0,32,893740,43.0254,7827,0.39755
0,Minimax,5,True,Minimax,3,1,0,0,32,893740,42.9169,7827,0.39666
0,Minimax,5,True,Minimax,3,1,0,0,32,893740,43.443,7827,0.403815
0,Minimax,5,True,Minimax,4,1,0,0,28,1514363,89.4882,442823,28.9177
0,Minimax,5,True,Minimax,4,1,0,0,28,1514363,88.7479,442823,29.0185
0,Minimax,5,True,Minimax,4,1,0,0,28,1514363,88.731,442823,28.9465
0,Minimax,5,True,Minimax,4,1,0,0,28,1514363,89.0854,442823,28.9804
0,Minimax,5,True,Minimax,4,1,0,0,28,1514363,88.6385,442823,28.7179
0,Minimax,5,True,Minimax,4,1,0,0,28,1514363,88.4712,442823,28.8001
1,Minimax,2,True,Minimax,1,0,1,0,35,810,0.0809927,191,0.0120786
1,Minimax,2,True,Minimax,1,0,1,0,35,810,0.0715057,191,0.0104931
1,Minimax,2,True,Minimax,1,0,1,0,35,810,0.073668,191,0.0103374
1,Minimax,2,True,Minimax,1,0,1,0,35,810,0.0711462,191,0.0100043
1,Minimax,2,True,Minimax,1,0,1,0,35,810,0.0751685,191,0.0114002
1,Minimax,2,True,Minimax,1,0,1,0,35,810,0.0723869,191,0.0101467
1,Minimax,3,True,Minimax,1,0,1,0,61,6967,0.582548,325,0.0261734
1,Minimax,3,True,Minimax,1,0,1,0,61,6967,0.549788,325,0.024173
1,Minimax,3,True,Minimax,1,0,1,0,61,6967,0.55852,325,0.024987
1,Minimax,3,True,Minimax,1,0,1,0,61,6967,0.558586,325,0.025118
1,Minimax,3,True,Minimax,1,0,1,0,61,6967,0.530689,325,0.0232343
1,Minimax,3,True,Minimax,1,0,1,0,61,6967,0.542773,325,0.0240687
1,Minimax,3,True,Minimax,2,0,1,0,33,4926,0.481749,1688,0.204922
1,Minimax,3,True,Minimax,2,0,1,0,33,4926,0.482167,1688,0.196403
1,Minimax,3,True,Minimax,2,0,1,0,33,4926,0.462225,1688,0.199156
1,Minimax,3,True,Minimax,2,0,1,0,33,4926,0.47546,1688,0.199363
1,Minimax,3,True,Minimax,2,0,1,0,33,4926,0.481453,1688,0.204222
1,Minimax,3,True,Minimax,2,0,1,0,33,4926,0.463927,1688,0.191477
1,Minimax,4,True,Minimax,1,1,0,0,117,178998,47.0925,597,0.0618968
