Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Nodes,Total_Time,Oppo_Total_Num,Oppo_Total_Time
0,MCTS,2,True,MCTS,1,0,0,1,9,1050,18.088,526,9.10849
0,MCTS,2,True,MCTS,1,0,0,1,6,734,12.0719,389,6.09387
0,MCTS,2,True,MCTS,1,0,0,1,7,782,14.1013,383,7.06431
0,MCTS,2,True,MCTS,1,0,0,1,44,7267,88.5479,3678,44.6371
0,MCTS,2,True,MCTS,1,1,0,0,11,1300,22.1297,606,10.1214
0,MCTS,2,True,MCTS,1,0,0,1,28,4578,56.3138,2275,28.3583
0,MCTS,3,True,MCTS,1,1,0,0,18,3656,54.1883,1158,17.2178
0,MCTS,3,True,MCTS,1,1,0,0,9,1728,27.122,513,8.10828
0,MCTS,3,True,MCTS,1,0,0,1,20,4192,60.1967,1405,20.2817
0,MCTS,3,True,MCTS,1,1,0,0,7,1285,21.0543,362,6.06071
0,MCTS,3,True,MCTS,1,1,0,0,9,1406,27.1091,414,8.1213
0,MCTS,3,True,MCTS,1,0,0,1,18,3531,54.2269,1246,18.2706
0,MCTS,3,True,MCTS,2,0,0,1,23,6359,69.353,4430,46.4347
0,MCTS,3,True,MCTS,2,0,0,1,19,3383,57.2689,2196,38.2884
0,MCTS,3,True,MCTS,2,0,0,1,2,280,6.03127,199,4.0518
0,MCTS,3,True,MCTS,2,1,0,0,43,9474,129.713,6250,84.9365
0,MCTS,3,True,MCTS,2,1,0,0,34,7664,102.509,4965,66.6113
0,MCTS,3,True,MCTS,2,1,0,0,10,1315,30.1935,781,18.1253
0,MCTS,4,True,MCTS,1,0,1,0,75,27436,301.753,6848,78.2065
0,MCTS,4,True,MCTS,1,0,0,1,10,1770,40.1775,430,10.1513
0,MCTS,4,True,MCTS,1,1,0,0,21,4711,84.31,1164,20.4037
0,MCTS,4,True,MCTS,1,0,0,1,19,3466,76.2753,907,19.3206
0,MCTS,4,True,MCTS,1,1,0,0,9,1514,36.1837,332,8.14023
0,MCTS,4,True,MCTS,1,1,0,0,19,3697,76.2717,867,18.4064
0,MCTS,4,True,MCTS,2,0,0,1,15,2641,60.2752,1340,30.3729
0,MCTS,4,True,MCTS,2,1,0,0,49,10473,197.116,5100,97.6042
0,MCTS,4,True,MCTS,2,0,0,1,9,1005,36.1821,511,18.2057
