Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Evaluations,Total_Time,Oppo_Total_Num,Oppo_Total_Time
0,Minimax,5,TRUE,MCTS,3,1,0,0,31,4298286,203.738,20268,90.9545
1,Minimax,5,TRUE,MCTS,3,1,0,0,96,2248781,218.196,24963,287.235
2,Minimax,5,TRUE,MCTS,3,1,0,0,79,7129528,606.343,31924,240.125
3,Minimax,5,TRUE,MCTS,3,1,0,0,2,106215,4.20355,242,3.01016
4,Minimax,5,TRUE,MCTS,3,1,0,0,200,2592123,510.279,59098,602.611
0,Minimax,5,TRUE,MCTS,3,1,0,0,13,1124143,68.1605,1914,36.1574
1,Minimax,5,TRUE,MCTS,3,1,0,0,98,1380739,167.461,20240,292.895
2,Minimax,5,TRUE,MCTS,3,1,0,0,17,994113,46.8946,2642,48.1878
3,Minimax,5,TRUE,MCTS,3,1,0,0,2,179349,7.36077,186,3.00994
4,Minimax,5,TRUE,MCTS,3,1,0,0,57,835933,69.7562,12209,168.875
0,Minimax,5,TRUE,MCTS,3,1,0,0,32,1899256,113.216,9761,93.6151
1,Minimax,5,TRUE,MCTS,3,1,0,0,125,3131890,507.24,25812,376.21
3,Minimax,5,TRUE,MCTS,3,1,0,0,3,263506,9.93654,459,6.02465
3,Minimax,5,TRUE,MCTS,3,1,0,0,2,106215,4.017,221,3.00492
0,Minimax,5,False,MCTS,3,1,0,0,10,468722,22.1036,2056,30.0958
1,Minimax,5,False,MCTS,3,1,0,0,12,247787,11.1355,1981,36.1463
2,Minimax,5,False,MCTS,3,1,0,0,6,282818,10.2309,992,18.0579
3,Minimax,5,False,MCTS,3,1,0,0,4,226273,8.84345,892,12.0151
4,Minimax,5,False,MCTS,3,1,0,0,22,768573,33.673,4276,66.2069
0,Minimax,5,False,MCTS,3,1,0,0,14,991293,57.1654,2681,42.1648
1,Minimax,5,False,MCTS,3,1,0,0,8,215056,9.14681,1268,24.1472
2,Minimax,5,False,MCTS,3,1,0,0,8,870285,33.0385,1420,24.0918
3,Minimax,5,False,MCTS,3,1,0,0,6,767400,27.9953,1648,18.0374
4,Minimax,5,False,MCTS,3,1,0,0,6,207521,8.25363,1058,18.086
0,Minimax,5,False,MCTS,3,1,0,0,5,571429,23.6674,929,15.071
1,Minimax,5,False,MCTS,3,1,0,0,10,149339,7.08613,1570,30.1387
2,Minimax,5,False,MCTS,3,1,0,0,13,677440,28.829,2184,39.1498
3,Minimax,5,False,MCTS,3,1,0,0,6,521452,23.112,1367,18.0354
4,Minimax,5,False,MCTS,3,1,0,0,13,319190,14.5416,2024,39.1758
0,Minimax,5,False,MCTS,3,1,0,0,3,220898,9.34851,490,9.03978
1,Minimax,5,False,MCTS,3,1,0,0,33,872345,57.0763,4401,99.5301
2,Minimax,5,False,MCTS,3,1,0,0,9,853871,35.0147,1597,27.1601
3,Minimax,5,False,MCTS,3,1,0,0,4,469112,18.7947,882,12.0363
4,Minimax,5,False,MCTS,3,1,0,0,154,4562802,615.442,42815,466.772
0,Minimax,5,False,MCTS,3,1,0,0,22,929948,47.8842,4428,66.2554
1,Minimax,5,False,MCTS,3,1,0,0,9,150588,8.26601,1245,27.166
2,Minimax,5,False,MCTS,3,1,0,0,3,267269,11.2713,404,9.0308
3,Minimax,5,False,MCTS,3,1,0,0,14,1911146,87.4981,4041,42.1895
4,Minimax,5,False,MCTS,3,1,0,0,9,325425,15.639,1386,27.1982
0,Minimax,5,False,MCTS,3,1,0,0,29,3299533,189.523,7095,87.6099
