Endgame, White, Parameter, Move,processing_time
1,False,3,1,0.000308
1,False,3,2,0.0003465
1,False,3,3,0.0003251
1,False,3,4,0.0003141
1,False,3,5,0.0003256
1,False,3,6,0.0002777
1,False,3,7,0.0003162
1,False,3,8,0.0003186
1,False,3,9,0.0003547
1,False,3,10,0.0003248
1,False,3,11,0.0002806
1,False,3,12,0.000254
1,False,3,13,0.0002105
1,False,3,14,0.0002768
1,False,3,15,0.0002148
1,False,3,16,0.0004242
1,False,3,17,0.0002443
1,False,3,18,0.0002915
1,False,3,19,0.0002407
1,False,3,20,0.0003063
1,False,3,21,0.0002522
1,False,3,22,0.0003198
1,False,3,23,0.0002773
1,False,3,24,0.0003341
1,False,3,25,0.0002749
1,False,3,26,0.0003484
1,False,3,27,0.0002864
1,False,3,28,0.0003611
1,False,3,29,0.0002974
1,False,3,30,0.000378
1,False,3,31,0.000309
1,False,3,32,0.0003934
1,False,3,33,0.0003209
1,False,3,34,0.0004077
1,False,3,35,0.0015442
1,False,3,36,0.001966
1,False,3,37,0.0016727
1,False,3,38,0.0017308
1,False,3,39,0.0012009
1,False,3,40,0.0022966
1,False,3,41,0.0015922
1,False,3,42,0.002253
1,False,3,43,0.0015742
1,False,3,44,0.0023063
1,False,3,45,0.0016476
1,False,3,46,0.0022247
1,False,3,47,0.0014758
1,False,3,48,0.003066
1,False,3,49,0.0040561
1,False,3,50,0.0044498
1,False,3,51,0.0025851
1,False,3,52,0.0048179
1,False,3,53,0.0025198
1,False,3,54,0.0050106
1,False,3,55,0.0032603
1,False,3,56,0.0057122
1,False,3,57,0.0031568
1,False,3,58,0.0052103
1,False,3,59,0.0044517
1,False,3,60,0.0062606
1,False,3,61,0.0031375
1,False,3,62,0.005983
1,False,3,63,0.0032463
1,False,3,64,0.0060207
1,False,3,65,0.0032477
1,False,3,66,0.006125
1,False,3,67,0.0033922
1,False,3,68,0.0065746
1,False,3,69,0.0039423
1,False,3,70,0.0064665
1,False,3,71,0.0035086
1,False,3,72,0.0073423
1,False,3,73,0.0038287
1,False,3,74,0.002405
1,False,3,75,0.0069077
1,False,3,76,0.0092507
1,False,3,77,0.0096965
1,False,3,78,0.0103482
1,False,3,79,0.0090368
1,False,3,80,0.0043973
1,False,3,81,0.0056456
1,False,3,82,0.0202575
1,False,3,83,0.011526
1,False,3,84,0.01132
1,False,3,85,0.0144314
1,False,3,86,0.0124678
1,False,3,87,0.0136599
1,False,3,88,0.0148407
1,False,3,89,0.0162225
1,False,3,90,0.0142723
1,False,3,91,0.0153982
1,False,3,92,0.0161504
1,False,3,93,0.0149151
1,False,3,94,0.0145121
1,False,3,95,0.0176269
1,False,3,96,0.0159717
1,False,3,97,0.019203
1,False,3,98,0.0218557
1,False,3,99,0.0187917
1,False,3,100,0.0170745
1,False,3,101,0.0174244
1,False,3,102,0.0179491
1,False,3,103,0.0178564
1,False,3,104,0.0183912
1,False,3,105,0.018961
1,False,3,106,0.0272008
1,False,3,107,0.0048929
1,False,3,108,0.0271271
1,False,3,109,0.0601623
1,False,3,110,0.0331335
1,False,3,111,0.0349728
1,False,3,112,0.0758344
1,False,3,113,0.086346
1,False,3,114,0.188943
1,False,3,115,0.0738189
1,False,3,116,0.121675
1,False,3,117,0.43963
1,False,3,118,0.0713213
1,False,3,119,0.0738218
1,False,3,120,0.186522
1,False,3,121,0.0653591
1,False,3,122,0.121077
1,False,3,123,0.0518922
1,False,3,124,0.0483832
1,False,3,125,0.0633604
1,False,3,126,0.0489096
1,False,3,127,0.0651075
1,False,3,128,0.0545185
1,False,3,129,0.0653324
1,False,3,130,0.050928
1,False,3,131,0.0715579
1,False,3,132,0.0530358
1,False,3,133,0.0679132
1,False,3,134,0.0626347
1,False,3,135,0.0767772
1,False,3,136,0.0587535
1,False,3,137,0.0799923
1,False,3,138,0.0607045
1,False,3,139,0.0832355
1,False,3,140,0.0639101
1,False,3,141,0.088924
1,False,3,142,0.0674816
1,False,3,143,0.0854256
1,False,3,144,0.0158664
1,False,3,145,0.162681
1,False,3,146,0.165082
1,False,3,147,0.699302
1,False,3,148,0.36172
1,False,3,149,0.122059
1,False,3,150,0.103583
1,False,3,151,0.131227
1,False,3,152,0.112575
1,False,3,153,0.128135
1,False,3,154,0.114933
1,False,3,155,0.136427
1,False,3,156,0.118721
1,False,3,157,0.136468
1,False,3,158,0.124293
1,False,3,159,0.139532
1,False,3,160,0.128758
1,False,3,161,0.143903
1,False,3,162,0.128514
1,False,3,163,0.142544
1,False,3,164,0.130722
1,False,3,165,0.147547
1,False,3,166,0.130172
1,False,3,167,0.150049
1,False,3,168,0.136336
1,False,3,169,0.0829358
1,False,3,170,0.224878
1,False,3,171,0.125444
1,False,3,172,0.127889
1,False,3,173,0.12007
1,False,3,174,0.125869
1,False,3,175,0.131749
1,False,3,176,0.123569
1,False,3,177,0.13445
1,False,3,178,0.131266
1,False,3,179,0.143936
1,False,3,180,0.127861
1,False,3,181,0.140324
1,False,3,182,0.134968
1,False,3,183,0.133713
1,False,3,184,0.153632
1,False,3,185,0.147374
1,False,3,186,0.139252
1,False,3,187,0.140836
1,False,3,188,0.134367
1,False,3,189,0.149816
1,False,3,190,0.147087
1,False,3,191,0.148166
1,False,3,192,0.16349
1,False,3,193,0.148235
1,False,3,194,0.0463127
1,False,3,195,0.150946
1,False,3,196,0.225083
1,False,3,197,0.150427
1,False,3,198,0.281093
1,False,3,199,0.146596
1,False,3,200,0.272981
1,False,3,201,0.15145
1,False,3,202,0.280959
1,False,3,203,0.157224
1,False,3,204,0.285963
1,False,3,205,0.158384
1,False,3,206,0.291014
1,False,3,207,0.153081
1,False,3,208,0.295373
1,False,3,209,0.167856
1,False,3,210,0.305546
1,False,3,211,0.167638
1,False,3,212,0.300224
1,False,3,213,0.167072
1,False,3,214,0.29806
1,False,3,215,0.167408
1,False,3,216,0.329667
1,False,3,217,0.166505
1,False,3,218,0.311112
1,False,3,219,0.0683188
1,False,3,220,0.365386
1,False,3,221,2.15428
1,False,3,222,0.535862
1,False,3,223,0.267382
