Endgame, White, Parameter, Move,number_of_evaluations
1,True,2,1,19
1,True,2,2,30
1,True,2,3,53
1,True,2,4,22
1,True,2,5,20
1,True,2,6,19
1,True,2,7,22
1,True,2,8,32
1,True,2,9,31
1,True,2,10,31
1,True,2,11,24
1,True,2,12,22
1,True,2,13,16
1,True,2,14,28
1,True,2,15,16
1,True,2,16,28
1,True,2,17,16
1,True,2,18,28
1,True,2,19,16
1,True,2,20,28
1,True,2,21,16
1,True,2,22,28
1,True,2,23,16
1,True,2,24,28
1,True,2,25,16
1,True,2,26,28
1,True,2,27,16
1,True,2,28,28
1,True,2,29,16
1,True,2,30,28
1,True,2,31,16
1,True,2,32,28
1,True,2,33,16
1,True,2,34,28
1,True,2,35,1
1,True,2,36,29
1,True,2,37,28
1,True,2,38,29
1,True,2,39,28
1,True,2,40,31
1,True,2,41,31
1,True,2,42,39
1,True,2,43,31
1,True,2,44,40
1,True,2,45,42
1,True,2,46,33
1,True,2,47,25
1,True,2,48,60
1,True,2,49,103
1,True,2,50,27
1,True,2,51,27
1,True,2,52,27
1,True,2,53,27
1,True,2,54,27
1,True,2,55,27
1,True,2,56,27
1,True,2,57,27
1,True,2,58,27
1,True,2,59,27
1,True,2,60,27
1,True,2,61,27
1,True,2,62,27
1,True,2,63,27
1,True,2,64,27
1,True,2,65,27
1,True,2,66,27
1,True,2,67,27
1,True,2,68,27
1,True,2,69,27
1,True,2,70,27
1,True,2,71,27
1,True,2,72,27
1,True,2,73,27
1,True,2,74,27
1,True,2,75,1
1,True,2,76,65
1,True,2,77,27
1,True,2,78,67
1,True,2,79,73
1,True,2,80,20
1,True,2,81,16
1,True,2,82,54
1,True,2,83,57
1,True,2,84,51
1,True,2,85,58
1,True,2,86,51
1,True,2,87,58
1,True,2,88,51
1,True,2,89,58
1,True,2,90,51
1,True,2,91,58
1,True,2,92,51
1,True,2,93,58
1,True,2,94,51
1,True,2,95,58
1,True,2,96,51
1,True,2,97,58
1,True,2,98,51
1,True,2,99,58
1,True,2,100,51
1,True,2,101,58
1,True,2,102,51
1,True,2,103,58
1,True,2,104,51
1,True,2,105,58
1,True,2,106,51
1,True,2,107,58
1,True,2,108,1
1,True,2,109,65
1,True,2,110,27
1,True,2,111,29
1,True,2,112,46
1,True,2,113,33
1,True,2,114,29
1,True,2,115,36
1,True,2,116,35
1,True,2,117,79
1,True,2,118,70
1,True,2,119,72
1,True,2,120,62
1,True,2,121,85
1,True,2,122,77
1,True,2,123,84
1,True,2,124,59
1,True,2,125,76
1,True,2,126,65
1,True,2,127,76
1,True,2,128,65
1,True,2,129,76
1,True,2,130,65
1,True,2,131,76
1,True,2,132,65
1,True,2,133,76
1,True,2,134,65
1,True,2,135,76
1,True,2,136,65
1,True,2,137,76
1,True,2,138,65
1,True,2,139,76
1,True,2,140,65
1,True,2,141,76
1,True,2,142,65
1,True,2,143,76
1,True,2,144,65
1,True,2,145,44
1,True,2,146,65
1,True,2,147,76
1,True,2,148,78
1,True,2,149,67
1,True,2,150,66
1,True,2,151,67
1,True,2,152,66
1,True,2,153,67
1,True,2,154,66
1,True,2,155,67
1,True,2,156,66
1,True,2,157,67
1,True,2,158,66
1,True,2,159,67
1,True,2,160,66
1,True,2,161,67
1,True,2,162,66
1,True,2,163,67
1,True,2,164,66
1,True,2,165,67
1,True,2,166,66
1,True,2,167,67
1,True,2,168,66
1,True,2,169,67
1,True,2,170,57
1,True,2,171,62
1,True,2,172,63
1,True,2,173,62
1,True,2,174,63
1,True,2,175,62
1,True,2,176,63
1,True,2,177,62
1,True,2,178,63
1,True,2,179,62
1,True,2,180,63
1,True,2,181,62
1,True,2,182,63
1,True,2,183,62
1,True,2,184,63
1,True,2,185,62
1,True,2,186,63
1,True,2,187,62
1,True,2,188,63
1,True,2,189,62
1,True,2,190,63
1,True,2,191,62
1,True,2,192,63
1,True,2,193,62
1,True,2,194,63
1,True,2,195,45
1,True,2,196,46
1,True,2,197,60
1,True,2,198,51
1,True,2,199,60
1,True,2,200,51
1,True,2,201,60
1,True,2,202,51
1,True,2,203,60
1,True,2,204,51
1,True,2,205,60
1,True,2,206,51
1,True,2,207,60
1,True,2,208,51
1,True,2,209,60
1,True,2,210,51
1,True,2,211,60
1,True,2,212,51
1,True,2,213,60
1,True,2,214,51
1,True,2,215,60
1,True,2,216,51
1,True,2,217,60
1,True,2,218,51
1,True,2,219,60
1,True,2,220,49
1,True,2,221,72
1,True,2,222,129
1,True,2,223,52
1,True,2,224,50
1,True,2,225,62
1,True,2,226,50
1,True,2,227,62
1,True,2,228,50
1,True,2,229,62
1,True,2,230,50
1,True,2,231,62
1,True,2,232,50
1,True,2,233,62
1,True,2,234,50
1,True,2,235,62
1,True,2,236,50
1,True,2,237,62
1,True,2,238,50
1,True,2,239,62
1,True,2,240,50
1,True,2,241,62
1,True,2,242,50
1,True,2,243,62
1,True,2,244,50
1,True,2,245,56
1,True,2,246,60
1,True,2,247,58
1,True,2,248,60
1,True,2,249,58
1,True,2,250,60
1,True,2,251,58
1,True,2,252,60
1,True,2,253,58
1,True,2,254,60
1,True,2,255,58
1,True,2,256,60
1,True,2,257,58
1,True,2,258,60
1,True,2,259,58
1,True,2,260,60
1,True,2,261,58
1,True,2,262,60
1,True,2,263,58
1,True,2,264,60
1,True,2,265,58
1,True,2,266,60
1,True,2,267,58
1,True,2,268,60
1,True,2,269,58
1,True,2,270,60
1,True,2,271,1
1,True,2,272,29
1,True,2,273,28
1,True,2,274,29
1,True,2,275,75
1,True,2,276,32
1,True,2,277,24
1,True,2,278,36
1,True,2,279,33
1,True,2,280,35
1,True,2,281,34
1,True,2,282,48
1,True,2,283,30
1,True,2,284,89
1,True,2,285,49
1,True,2,286,87
1,True,2,287,60
1,True,2,288,71
1,True,2,289,60
1,True,2,290,71
1,True,2,291,60
1,True,2,292,71
1,True,2,293,60
1,True,2,294,71
1,True,2,295,60
1,True,2,296,71
1,True,2,297,60
1,True,2,298,71
1,True,2,299,60
1,True,2,300,71
1,True,2,301,60
1,True,2,302,71
1,True,2,303,60
1,True,2,304,71
1,True,2,305,60
1,True,2,306,71
1,True,2,307,60
1,True,2,308,71
1,True,2,309,60
1,True,2,310,71
1,True,2,311,60
1,True,2,312,33
1,True,2,313,60
1,True,2,314,93
1,True,2,315,54
1,True,2,316,66
1,True,2,317,82
1,True,2,318,66
1,True,2,319,82
1,True,2,320,66
1,True,2,321,82
1,True,2,322,66
1,True,2,323,82
1,True,2,324,66
1,True,2,325,82
1,True,2,326,66
1,True,2,327,82
1,True,2,328,66
1,True,2,329,82
1,True,2,330,66
1,True,2,331,82
1,True,2,332,66
1,True,2,333,82
1,True,2,334,66
1,True,2,335,82
1,True,2,336,66
1,True,2,337,82
1,True,2,338,66
1,True,2,339,62
1,True,2,340,54
1,True,2,341,107
1,True,2,342,80
