Endgame, White, Parameter, Move,number_of_evaluations
3,False,3,1,8
3,False,3,2,8
3,False,3,3,7
3,False,3,4,7
3,False,3,5,7
3,False,3,6,6
3,False,3,7,7
3,False,3,8,6
3,False,3,9,6
3,False,3,10,7
3,False,3,11,6
3,False,3,12,6
3,False,3,13,4
3,False,3,14,6
3,False,3,15,4
3,False,3,16,6
3,False,3,17,4
3,False,3,18,6
3,False,3,19,4
3,False,3,20,6
3,False,3,21,4
3,False,3,22,6
3,False,3,23,4
3,False,3,24,6
3,False,3,25,4
3,False,3,26,6
3,False,3,27,4
3,False,3,28,6
3,False,3,29,4
3,False,3,30,6
3,False,3,31,4
3,False,3,32,6
3,False,3,33,4
3,False,3,34,6
3,False,3,35,19
3,False,3,36,23
3,False,3,37,21
3,False,3,38,23
3,False,3,39,19
3,False,3,40,43
3,False,3,41,31
3,False,3,42,24
3,False,3,43,20
3,False,3,44,28
3,False,3,45,20
3,False,3,46,21
3,False,3,47,27
3,False,3,48,30
3,False,3,49,43
3,False,3,50,71
3,False,3,51,25
3,False,3,52,71
3,False,3,53,25
3,False,3,54,71
3,False,3,55,25
3,False,3,56,71
3,False,3,57,25
3,False,3,58,71
3,False,3,59,25
3,False,3,60,71
3,False,3,61,25
3,False,3,62,71
3,False,3,63,25
3,False,3,64,71
3,False,3,65,25
3,False,3,66,71
3,False,3,67,25
3,False,3,68,71
3,False,3,69,25
3,False,3,70,71
3,False,3,71,25
3,False,3,72,71
3,False,3,73,25
3,False,3,74,15
3,False,3,75,170
3,False,3,76,186
3,False,3,77,190
3,False,3,78,184
3,False,3,79,110
3,False,3,80,62
3,False,3,81,63
3,False,3,82,265
3,False,3,83,150
3,False,3,84,158
3,False,3,85,148
3,False,3,86,158
3,False,3,87,148
3,False,3,88,158
3,False,3,89,148
3,False,3,90,158
3,False,3,91,148
3,False,3,92,158
3,False,3,93,148
3,False,3,94,158
3,False,3,95,148
3,False,3,96,158
3,False,3,97,148
3,False,3,98,158
3,False,3,99,148
3,False,3,100,158
3,False,3,101,148
3,False,3,102,158
3,False,3,103,148
3,False,3,104,158
