Endgame, White, Parameter, Move,evaluation_function
3,False,5,1,10
3,False,5,2,-60
3,False,5,3,30
3,False,5,4,30
3,False,5,5,30
3,False,5,6,40
3,False,5,7,40
3,False,5,8,40
3,False,5,9,30
3,False,5,10,30
3,False,5,11,30
3,False,5,12,30
3,False,5,13,30
3,False,5,14,30
3,False,5,15,30
3,False,5,16,30
3,False,5,17,30
3,False,5,18,30
3,False,5,19,30
3,False,5,20,30
3,False,5,21,30
3,False,5,22,30
3,False,5,23,30
3,False,5,24,30
3,False,5,25,30
3,False,5,26,30
3,False,5,27,30
3,False,5,28,30
3,False,5,29,30
3,False,5,30,30
3,False,5,31,30
3,False,5,32,30
3,False,5,33,30
3,False,5,34,30
3,False,5,35,10
3,False,5,36,10
3,False,5,37,10
3,False,5,38,10
3,False,5,39,0
3,False,5,40,-10
3,False,5,41,-20
3,False,5,42,-20
3,False,5,43,-20
3,False,5,44,-20
3,False,5,45,-20
3,False,5,46,-20
3,False,5,47,-20
3,False,5,48,-10
3,False,5,49,0
3,False,5,50,0
3,False,5,51,0
3,False,5,52,0
3,False,5,53,0
3,False,5,54,0
3,False,5,55,0
3,False,5,56,0
3,False,5,57,0
3,False,5,58,0
3,False,5,59,0
3,False,5,60,0
3,False,5,61,0
3,False,5,62,0
3,False,5,63,0
3,False,5,64,0
3,False,5,65,0
3,False,5,66,0
3,False,5,67,0
3,False,5,68,0
3,False,5,69,0
3,False,5,70,0
3,False,5,71,0
3,False,5,72,0
3,False,5,73,0
3,False,5,74,0
3,False,5,75,20
3,False,5,76,20
3,False,5,77,30
3,False,5,78,30
3,False,5,79,0
3,False,5,80,-80
3,False,5,81,-80
3,False,5,82,-80
3,False,5,83,-80
3,False,5,84,-80
3,False,5,85,-80
3,False,5,86,-80
3,False,5,87,-80
3,False,5,88,-80
3,False,5,89,-80
3,False,5,90,-80
3,False,5,91,-80
3,False,5,92,-80
3,False,5,93,-80
3,False,5,94,-80
3,False,5,95,-80
3,False,5,96,-80
3,False,5,97,-80
3,False,5,98,-80
3,False,5,99,-80
3,False,5,100,-80
3,False,5,101,-80
3,False,5,102,-80
3,False,5,103,-80
3,False,5,104,-80
3,False,5,105,-80
3,False,5,106,-80
3,False,5,107,0
3,False,5,108,10
3,False,5,109,20
3,False,5,110,20
3,False,5,111,10
3,False,5,112,10
3,False,5,113,10
3,False,5,114,-20
3,False,5,115,-70
3,False,5,116,-80
3,False,5,117,-90
3,False,5,118,-90
3,False,5,119,-90
3,False,5,120,-90
3,False,5,121,-120
3,False,5,122,-120
3,False,5,123,-90
3,False,5,124,-90
3,False,5,125,-90
3,False,5,126,-90
3,False,5,127,-90
3,False,5,128,-90
3,False,5,129,-90
3,False,5,130,-90
3,False,5,131,-90
3,False,5,132,-90
3,False,5,133,-90
3,False,5,134,-90
3,False,5,135,-90
3,False,5,136,-90
3,False,5,137,-90
3,False,5,138,-90
3,False,5,139,-90
3,False,5,140,-90
3,False,5,141,-90
3,False,5,142,-90
3,False,5,143,-90
3,False,5,144,-90
3,False,5,145,-90
3,False,5,146,-90
3,False,5,147,-110
3,False,5,148,-90
3,False,5,149,-120
3,False,5,150,-90
3,False,5,151,-120
3,False,5,152,-90
3,False,5,153,-120
3,False,5,154,-90
3,False,5,155,-120
3,False,5,156,-90
3,False,5,157,-120
3,False,5,158,-90
3,False,5,159,-120
3,False,5,160,-90
3,False,5,161,-120
3,False,5,162,-90
3,False,5,163,-120
3,False,5,164,-90
3,False,5,165,-120
3,False,5,166,-90
3,False,5,167,-120
3,False,5,168,-90
3,False,5,169,-90
3,False,5,170,-90
3,False,5,171,-90
3,False,5,172,-90
3,False,5,173,-90
3,False,5,174,-90
3,False,5,175,-90
3,False,5,176,-90
3,False,5,177,-90
3,False,5,178,-90
3,False,5,179,-90
3,False,5,180,-90
3,False,5,181,-90
3,False,5,182,-90
3,False,5,183,-90
3,False,5,184,-90
3,False,5,185,-90
3,False,5,186,-90
3,False,5,187,-90
3,False,5,188,-90
3,False,5,189,-90
3,False,5,190,-90
3,False,5,191,-90
3,False,5,192,-90
3,False,5,193,-90
3,False,5,194,-80
3,False,5,195,-80
3,False,5,196,-90
3,False,5,197,-120
3,False,5,198,-90
3,False,5,199,-120
3,False,5,200,-90
3,False,5,201,-120
3,False,5,202,-90
3,False,5,203,-120
3,False,5,204,-90
3,False,5,205,-120
3,False,5,206,-90
3,False,5,207,-120
3,False,5,208,-90
3,False,5,209,-120
3,False,5,210,-90
3,False,5,211,-120
3,False,5,212,-90
3,False,5,213,-120
3,False,5,214,-90
3,False,5,215,-120
3,False,5,216,-90
3,False,5,217,-120
3,False,5,218,-90
3,False,5,219,-90
3,False,5,220,-90
3,False,5,221,-90
3,False,5,222,-110
3,False,5,223,-90
3,False,5,224,-90
3,False,5,225,-90
3,False,5,226,-90
3,False,5,227,-90
3,False,5,228,-90
3,False,5,229,-90
3,False,5,230,-90
3,False,5,231,-90
3,False,5,232,-90
3,False,5,233,-90
3,False,5,234,-90
3,False,5,235,-90
3,False,5,236,-90
3,False,5,237,-90
3,False,5,238,-90
3,False,5,239,-90
3,False,5,240,-90
3,False,5,241,-90
3,False,5,242,-90
3,False,5,243,-90
3,False,5,244,-80
3,False,5,245,-160
3,False,5,246,-160
3,False,5,247,-160
3,False,5,248,-160
3,False,5,249,-160
3,False,5,250,-160
3,False,5,251,-160
3,False,5,252,-160
3,False,5,253,-160
3,False,5,254,-160
3,False,5,255,-160
3,False,5,256,-160
3,False,5,257,-160
3,False,5,258,-160
3,False,5,259,-160
3,False,5,260,-160
3,False,5,261,-160
3,False,5,262,-160
3,False,5,263,-160
3,False,5,264,-160
3,False,5,265,-160
3,False,5,266,-160
3,False,5,267,-160
3,False,5,268,-160
3,False,5,269,-160
3,False,5,270,0
3,False,5,271,20
3,False,5,272,20
3,False,5,273,20
3,False,5,274,20
3,False,5,275,20
3,False,5,276,10
3,False,5,277,0
3,False,5,278,0
3,False,5,279,0
3,False,5,280,0
3,False,5,281,0
3,False,5,282,0
3,False,5,283,0
3,False,5,284,0
3,False,5,285,10
3,False,5,286,20
3,False,5,287,20
3,False,5,288,20
3,False,5,289,20
3,False,5,290,20
3,False,5,291,20
3,False,5,292,20
3,False,5,293,20
3,False,5,294,20
3,False,5,295,20
3,False,5,296,20
3,False,5,297,20
3,False,5,298,20
3,False,5,299,20
3,False,5,300,20
3,False,5,301,20
3,False,5,302,20
3,False,5,303,20
3,False,5,304,20
3,False,5,305,20
3,False,5,306,20
3,False,5,307,20
3,False,5,308,20
3,False,5,309,20
3,False,5,310,10
3,False,5,311,10
3,False,5,312,90
3,False,5,313,100
3,False,5,314,100
3,False,5,315,100
3,False,5,316,100
3,False,5,317,100
3,False,5,318,100
3,False,5,319,100
3,False,5,320,100
3,False,5,321,100
3,False,5,322,100
3,False,5,323,100
3,False,5,324,100
3,False,5,325,100
3,False,5,326,100
3,False,5,327,100
3,False,5,328,100
3,False,5,329,100
3,False,5,330,100
3,False,5,331,100
3,False,5,332,100
3,False,5,333,100
3,False,5,334,100
3,False,5,335,100
3,False,5,336,100
3,False,5,337,100
3,False,5,338,100
3,False,5,339,110
3,False,5,340,990
3,False,5,341,990
