Endgame, White, Parameter, Move,processing_time
3,True,3,1,0.0016872
3,True,3,2,0.0023479
3,True,3,3,0.0027027
3,True,3,4,0.0021286
3,True,3,5,0.0018567
3,True,3,6,0.0015195
3,True,3,7,0.0020426
3,True,3,8,0.0029188
3,True,3,9,0.002437
3,True,3,10,0.0026331
3,True,3,11,0.001885
3,True,3,12,0.001689
3,True,3,13,0.0012217
3,True,3,14,0.0021291
3,True,3,15,0.0012425
3,True,3,16,0.0022605
3,True,3,17,0.0014858
3,True,3,18,0.0023594
3,True,3,19,0.0013917
3,True,3,20,0.0024167
3,True,3,21,0.0014558
3,True,3,22,0.0025236
3,True,3,23,0.001517
3,True,3,24,0.0027904
3,True,3,25,0.001586
3,True,3,26,0.0027754
3,True,3,27,0.0016548
3,True,3,28,0.0028608
3,True,3,29,0.0017133
3,True,3,30,0.0037551
3,True,3,31,0.0017837
3,True,3,32,0.003113
3,True,3,33,0.001863
3,True,3,34,0.0032342
3,True,3,35,8.93e-05
3,True,3,36,0.0015841
3,True,3,37,0.0016568
3,True,3,38,0.0019441
3,True,3,39,0.0019061
3,True,3,40,0.0016479
3,True,3,41,0.0017842
3,True,3,42,0.0019827
3,True,3,43,0.0018981
3,True,3,44,0.0022529
3,True,3,45,0.0027456
3,True,3,46,0.0023687
3,True,3,47,0.0020639
3,True,3,48,0.0032706
3,True,3,49,0.0045401
3,True,3,50,0.0019262
3,True,3,51,0.002374
3,True,3,52,0.0020398
3,True,3,53,0.0022649
3,True,3,54,0.0020501
3,True,3,55,0.0040906
3,True,3,56,0.0025624
3,True,3,57,0.0040382
3,True,3,58,0.0023792
3,True,3,59,0.0065662
3,True,3,60,0.002621
3,True,3,61,0.0028616
3,True,3,62,0.0025658
3,True,3,63,0.0031066
3,True,3,64,0.0026615
3,True,3,65,0.0029197
3,True,3,66,0.0026167
3,True,3,67,0.003089
3,True,3,68,0.0027393
3,True,3,69,0.0033821
3,True,3,70,0.0030249
3,True,3,71,0.0032798
3,True,3,72,0.0029227
3,True,3,73,0.0035672
3,True,3,74,0.0031915
3,True,3,75,0.0001008
3,True,3,76,0.0021599
3,True,3,77,0.0023288
3,True,3,78,0.002478
3,True,3,79,0.0026929
3,True,3,80,0.0015172
3,True,3,81,0.0013697
3,True,3,82,0.0046952
3,True,3,83,0.0054012
3,True,3,84,0.0054064
3,True,3,85,0.006246
3,True,3,86,0.005484
3,True,3,87,0.0055122
3,True,3,88,0.0057754
3,True,3,89,0.0061003
3,True,3,90,0.0062145
3,True,3,91,0.0080654
3,True,3,92,0.006404
3,True,3,93,0.0072801
3,True,3,94,0.0062438
3,True,3,95,0.0066015
3,True,3,96,0.007093
3,True,3,97,0.0088416
3,True,3,98,0.0084419
3,True,3,99,0.0078905
3,True,3,100,0.0075638
3,True,3,101,0.0079769
3,True,3,102,0.0075923
3,True,3,103,0.0081305
3,True,3,104,0.007742
3,True,3,105,0.0085249
3,True,3,106,0.0107638
3,True,3,107,0.0168303
3,True,3,108,0.000185
3,True,3,109,0.0023303
3,True,3,110,0.0016606
3,True,3,111,0.0021403
3,True,3,112,0.0027027
3,True,3,113,0.0024459
3,True,3,114,0.0014697
