Endgame,Algo,Parameter,White,Opponenet,Opponent Parameter,Win,Draw,Lose,Move Num
0,Minimax,2,True,Minimax,1,0,1,0,29
0,Minimax,2,True,Minimax,2,0,1,0,60
0,Minimax,2,True,Minimax,3,0,1,0,98
0,Minimax,2,True,Minimax,4,1,0,0,102
0,Minimax,2,True,Minimax,5,0,0,1,166
0,Minimax,3,True,Minimax,1,0,0,1,169
0,Minimax,3,True,Minimax,2,0,1,0,206
0,Minimax,3,True,Minimax,3,0,0,1,286
0,Minimax,3,True,Minimax,4,0,0,1,313
0,Minimax,3,True,Minimax,5,1,0,0,344
0,Minimax,4,True,Minimax,1,1,0,0,525
0,Minimax,4,True,Minimax,2,1,0,0,556
0,Minimax,4,True,Minimax,3,0,0,1,583
0,Minimax,4,True,Minimax,4,1,0,0,613
0,Minimax,4,True,Minimax,5,1,0,0,641
0,Minimax,5,True,Minimax,1,0,0,1,648
0,Minimax,5,True,Minimax,2,0,0,1,711
0,Minimax,5,True,Minimax,3,1,0,0,743
0,Minimax,5,True,Minimax,4,0,0,1,770
0,Minimax,5,True,Minimax,5,1,0,0,804
1,Minimax,2,True,Minimax,1,0,1,0,35
1,Minimax,2,True,Minimax,2,0,1,0,75
1,Minimax,2,True,Minimax,3,0,1,0,108
1,Minimax,2,True,Minimax,4,0,0,1,271
1,Minimax,2,True,Minimax,5,1,0,0,342
1,Minimax,3,True,Minimax,1,0,1,0,403
1,Minimax,3,True,Minimax,2,0,0,1,442
1,Minimax,3,True,Minimax,3,0,0,1,533
1,Minimax,3,True,Minimax,4,0,0,1,673
1,Minimax,3,True,Minimax,5,0,1,0,706
1,Minimax,4,True,Minimax,1,1,0,0,823
1,Minimax,4,True,Minimax,2,0,0,1,986
1,Minimax,4,True,Minimax,3,0,0,1,1126
1,Minimax,4,True,Minimax,4,0,0,1,1166
1,Minimax,4,True,Minimax,5,0,0,1,1178
1,Minimax,5,True,Minimax,1,1,0,0,1366
1,Minimax,5,True,Minimax,2,0,0,1,1385
1,Minimax,5,True,Minimax,3,0,0,1,1454
1,Minimax,5,True,Minimax,4,0,0,1,1466
1,Minimax,5,True,Minimax,5,0,0,1,1679
2,Minimax,2,True,Minimax,1,0,1,0,1705
2,Minimax,2,True,Minimax,2,0,0,1,1733
2,Minimax,2,True,Minimax,3,0,0,1,1764
2,Minimax,2,True,Minimax,4,0,0,1,1793
2,Minimax,2,True,Minimax,5,1,0,0,1801
2,Minimax,3,True,Minimax,1,1,0,0,1918
2,Minimax,3,True,Minimax,2,0,0,1,1929
2,Minimax,3,True,Minimax,3,0,0,1,1972
2,Minimax,3,True,Minimax,4,1,0,0,2188
2,Minimax,3,True,Minimax,5,0,0,1,2196
2,Minimax,4,True,Minimax,1,1,0,0,2454
2,Minimax,4,True,Minimax,2,0,0,1,2464
2,Minimax,4,True,Minimax,3,0,0,1,2508
2,Minimax,4,True,Minimax,4,1,0,0,2514
2,Minimax,4,True,Minimax,5,0,0,1,2543
2,Minimax,5,True,Minimax,1,0,0,1,2547
2,Minimax,5,True,Minimax,2,0,0,1,2575
2,Minimax,5,True,Minimax,3,0,0,1,2659
2,Minimax,5,True,Minimax,4,0,0,1,2687
2,Minimax,5,True,Minimax,5,0,0,1,2721
3,Minimax,2,True,Minimax,1,0,1,0,2750
3,Minimax,2,True,Minimax,2,0,0,1,2777
3,Minimax,2,True,Minimax,3,0,0,1,2809
3,Minimax,2,True,Minimax,4,0,0,1,2841
3,Minimax,2,True,Minimax,5,1,0,0,2842
3,Minimax,3,True,Minimax,1,1,0,0,2872
3,Minimax,3,True,Minimax,2,1,0,0,2900
3,Minimax,3,True,Minimax,3,1,0,0,2960
3,Minimax,3,True,Minimax,4,0,0,1,3018
3,Minimax,3,True,Minimax,5,0,0,1,3022
3,Minimax,4,True,Minimax,1,1,0,0,3050
3,Minimax,4,True,Minimax,2,1,0,0,3078
3,Minimax,4,True,Minimax,3,1,0,0,3105
3,Minimax,4,True,Minimax,4,0,0,1,3133
3,Minimax,4,True,Minimax,5,1,0,0,3167
3,Minimax,5,True,Minimax,1,1,0,0,3169
3,Minimax,5,True,Minimax,2,0,0,1,3198
3,Minimax,5,True,Minimax,3,0,0,1,3202
3,Minimax,5,True,Minimax,4,1,0,0,3236
3,Minimax,5,True,Minimax,5,1,0,0,3241
4,Minimax,2,True,Minimax,1,0,1,0,3270
4,Minimax,2,True,Minimax,2,0,1,0,3325
4,Minimax,2,True,Minimax,3,1,0,0,3354
4,Minimax,2,True,Minimax,4,0,0,1,3363
4,Minimax,2,True,Minimax,5,0,0,1,3394
4,Minimax,3,True,Minimax,1,1,0,0,3424
4,Minimax,3,True,Minimax,2,0,0,1,3581
4,Minimax,3,True,Minimax,3,1,0,0,3622
4,Minimax,3,True,Minimax,4,1,0,0,3651
4,Minimax,3,True,Minimax,5,1,0,0,3681
4,Minimax,4,True,Minimax,1,0,0,1,3715
4,Minimax,4,True,Minimax,2,0,0,1,3724
4,Minimax,4,True,Minimax,3,1,0,0,3753
4,Minimax,4,True,Minimax,4,1,0,0,3783
4,Minimax,4,True,Minimax,5,1,0,0,3812
4,Minimax,5,True,Minimax,1,1,0,0,3967
4,Minimax,5,True,Minimax,2,0,0,1,3998
4,Minimax,5,True,Minimax,3,1,0,0,4027
4,Minimax,5,True,Minimax,4,1,0,0,4057
4,Minimax,5,True,Minimax,5,1,0,0,4086
