Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Nodes,Total_Time,Oppo_Total_Num,Oppo_Total_Time
0,MCTS,1,True,MCTS,2,0,0,1,7,361,7.12625,781,14.0673
0,MCTS,2,True,MCTS,1,1,0,0,7,851,14.0823,377,6.11182
1,MCTS,1,True,MCTS,2,0,0,1,10,436,10.1493,865,20.1685
1,MCTS,2,True,MCTS,1,0,1,0,148,37557,301.307,18610,154.573
2,MCTS,1,True,MCTS,2,1,0,0,10,455,10.1492,810,18.1402
2,MCTS,2,True,MCTS,1,0,0,1,2,196,4.02181,97,2.01699
3,MCTS,1,True,MCTS,2,1,0,0,11,831,11.1288,1518,20.1062
3,MCTS,2,True,MCTS,1,1,0,0,2,266,4.02751,72,1.00526
4,MCTS,1,True,MCTS,2,0,0,1,30,1869,30.3908,3777,60.3817
4,MCTS,2,True,MCTS,1,1,0,0,20,2662,40.228,1283,19.179
0,MCTS,1,True,MCTS,2,0,0,1,33,2044,33.5247,3863,66.4704
0,MCTS,2,True,MCTS,1,0,0,1,3,229,6.05797,92,3.09275
1,MCTS,1,True,MCTS,2,0,0,1,7,180,7.12142,376,14.1939
1,MCTS,2,True,MCTS,1,1,0,0,22,1637,44.3314,780,21.48
2,MCTS,1,True,MCTS,2,1,0,0,59,4117,60.164,8220,116.908
2,MCTS,2,True,MCTS,1,0,0,1,14,1389,28.2147,690,14.2414
3,MCTS,1,True,MCTS,2,1,0,0,11,873,11.1169,1639,20.0834
3,MCTS,2,True,MCTS,1,1,0,0,2,257,4.02819,74,1.01415
0,MCTS,1,True,MCTS,2,1,0,0,13,755,13.1452,1421,24.1601
0,MCTS,1,True,MCTS,3,0,0,1,26,1666,26.3986,4968,78.3118
0,MCTS,1,True,MCTS,4,0,0,1,11,695,11.1442,2610,44.1186
0,MCTS,1,True,MCTS,5,0,0,1,18,1167,18.3096,5855,90.2165
0,MCTS,2,True,MCTS,1,1,0,0,17,1729,34.226,826,16.2522
0,MCTS,2,True,MCTS,3,1,0,0,30,4774,60.464,6913,87.5898
0,MCTS,2,True,MCTS,4,0,0,1,15,1770,30.2682,3560,60.2273
0,MCTS,2,True,MCTS,5,0,0,1,19,2084,38.3408,5210,95.2176
0,MCTS,3,True,MCTS,1,1,0,0,10,1943,30.1447,599,9.08977
0,MCTS,3,True,MCTS,2,0,0,1,17,4333,51.2089,2954,34.2172
0,MCTS,3,True,MCTS,4,1,0,0,17,3541,51.2498,4485,64.2106
0,MCTS,3,True,MCTS,5,0,0,1,7,1277,21.1185,2097,35.0947
0,MCTS,4,True,MCTS,1,1,0,0,7,1815,28.0516,401,6.09025
0,MCTS,4,True,MCTS,2,0,0,1,11,2724,44.1248,1395,22.1599
0,MCTS,4,True,MCTS,3,0,0,1,18,4933,72.242,3749,54.2333
0,MCTS,4,True,MCTS,5,0,0,1,3,733,12.0325,917,15.0382
0,MCTS,5,True,MCTS,1,1,0,0,4,1172,20.0185,182,3.02913
0,MCTS,5,True,MCTS,2,0,0,1,19,6453,95.2198,2584,38.322
0,MCTS,5,True,MCTS,3,1,0,0,8,2768,40.0916,1436,21.0879
0,MCTS,5,True,MCTS,4,0,0,1,5,1411,25.0347,1155,20.0782
1,MCTS,1,True,MCTS,2,0,0,1,21,993,21.3846,1999,42.25
1,MCTS,1,True,MCTS,3,1,0,0,28,1805,28.4202,5146,81.366
1,MCTS,1,True,MCTS,4,0,0,1,31,1340,31.6039,5351,124.418
1,MCTS,1,True,MCTS,5,0,0,1,14,716,14.1723,3664,70.1963
1,MCTS,2,True,MCTS,1,0,0,1,55,5815,110.859,2888,55.985
1,MCTS,2,True,MCTS,3,0,0,1,20,1988,40.3378,2984,60.3375
1,MCTS,2,True,MCTS,4,0,0,1,20,1808,40.3084,3606,80.2797
1,MCTS,2,True,MCTS,5,0,0,1,32,3598,64.7257,9170,160.529
1,MCTS,3,True,MCTS,1,1,0,0,63,12721,189.934,4204,63.4636
1,MCTS,3,True,MCTS,2,0,1,0,99,25122,300.047,16385,199.841
1,MCTS,3,True,MCTS,4,0,1,0,75,21773,228.064,29028,303.166
1,MCTS,3,True,MCTS,5,0,0,1,27,4578,81.6161,7600,135.405
1,MCTS,4,True,MCTS,1,0,1,0,75,22125,301.141,5539,76.4152
1,MCTS,4,True,MCTS,2,0,0,1,25,5302,100.376,2658,50.3737
1,MCTS,4,True,MCTS,3,0,0,1,7,1253,28.0825,923,21.0914
1,MCTS,4,True,MCTS,5,0,0,1,35,6778,140.866,8577,175.778
1,MCTS,5,True,MCTS,1,1,0,0,23,4811,115.457,924,22.5026
