Endgame,White,Parameter,Move,Evaluation_Function,Evaluation_Number,Time
0,True,5,1,50,37915,2.36859
0,True,5,2,20,39549,2.31113
0,True,5,3,20,9127,0.497265
0,True,5,4,240,90068,3.35095
0,True,5,5,1040,159119,5.4578
0,True,5,6,1130,190224,6.09729
0,True,5,7,1130,151439,4.81231
0,True,5,8,1130,142483,4.59989
0,True,5,9,1130,140482,4.67622
0,True,5,10,1130,141065,4.84083
0,True,5,11,1130,138563,4.83625
0,True,5,12,1130,140647,5.06518
0,True,5,13,1130,119394,4.4317
0,True,5,14,1130,140647,5.27104
0,True,5,15,1130,119394,4.55097
0,True,5,16,1130,140647,5.47254
0,True,5,17,1130,119394,4.76434
0,True,5,18,1130,140647,5.72386
0,True,5,19,1130,119394,4.9969
0,True,5,20,1130,140647,5.94591
0,True,5,21,1130,119394,5.239
0,True,5,22,1130,140647,6.19253
0,True,5,23,1130,119394,5.3872
0,True,5,24,1130,140647,6.48751
0,True,5,25,1130,119394,5.7384
0,True,5,26,1130,140647,6.65041
0,True,5,27,1130,119394,5.76859
0,True,5,28,1130,140647,6.91519
0,True,5,29,1130,119394,5.96363
0,True,5,30,1130,11668,0.664672
0,True,5,31,1130,54,0.0053683
1,True,5,1,20,2208,0.110689
1,True,5,2,30,1594,0.0902674
1,True,5,3,30,1593,0.0788424
1,True,5,4,30,1363,0.0671574
1,True,5,5,30,1300,0.0699699
1,True,5,6,30,1202,0.0641537
1,True,5,7,30,1346,0.0758398
1,True,5,8,30,1032,0.0663519
1,True,5,9,30,1234,0.0786675
1,True,5,10,30,789,0.0533099
1,True,5,11,30,1234,0.077441
1,True,5,12,30,949,0.0640878
1,True,5,13,40,1096,0.0748192
1,True,5,14,40,1491,0.11679
1,True,5,15,40,1951,0.158111
1,True,5,16,50,705,0.0546036
1,True,5,17,60,4914,0.283841
1,True,5,18,60,4449,0.270679
1,True,5,19,90,989,0.0728909
1,True,5,20,10,2116,0.148053
1,True,5,21,90,1216,0.0917787
1,True,5,22,10,2214,0.164528
1,True,5,23,90,1216,0.0995856
