Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Nodes,Total_Time,Oppo_Total_Num,Oppo_Total_Time
0,MCTS,3,FALSE,Minimax,5,0,0,1,30,26114,93,3592125,143.226
1,MCTS,3,FALSE,Minimax,5,0,0,1,120,27602,363,1078195,138.923
2,MCTS,3,FALSE,Minimax,5,0,0,1,42,16746,129,1422222,67.171
3,MCTS,3,FALSE,Minimax,5,0,0,1,1,253,3,110847,3.63382
4,MCTS,3,FALSE,Minimax,5,0,0,1,154,57137,462,1156046,141.182
0,MCTS,3,FALSE,Minimax,5,0,0,1,70,35963,213,3947558,239.107
1,MCTS,3,FALSE,Minimax,5,0,0,1,130,29689,393,791085,95.849
2,MCTS,3,FALSE,Minimax,5,0,0,1,7,1367,24,195732,4.5377
3,MCTS,3,FALSE,Minimax,5,0,0,1,2,504,6,126428,4.1746
4,MCTS,3,FALSE,Minimax,5,0,0,1,151,56776,456,1283868,145.569
0,MCTS,3,FALSE,Minimax,5,0,0,1,9,2518,30,603368,20.2217
1,MCTS,3,FALSE,Minimax,5,0,0,1,128,32562,384,1994595,220.547
2,MCTS,3,FALSE,Minimax,5,0,0,1,6,1114,21,65800,0.0181
3,MCTS,3,FALSE,Minimax,5,0,0,1,1,266,3,81905,2.70547
4,MCTS,3,FALSE,Minimax,5,0,0,1,11,2216,36,102803,1.0924
0,MCTS,3,FALSE,Minimax,5,0,0,1,12,3762,39,616977,20.6938
1,MCTS,3,FALSE,Minimax,5,0,0,1,111,33420,333,2871978,274.89
2,MCTS,3,FALSE,Minimax,5,0,0,1,23,5817,72,573282,21.6436
3,MCTS,3,FALSE,Minimax,5,0,0,1,1,265,3,81905,2.7017
4,MCTS,3,FALSE,Minimax,5,0,0,1,91,40872,276,880382,68.461
0,MCTS,3,FALSE,Minimax,5,0,0,1,33,29946,102,1845057,74.138
1,MCTS,3,FALSE,Minimax,5,0,0,1,112,33229,336,2786194,267.026
2,MCTS,3,FALSE,Minimax,5,0,0,1,51,18177,156,2410184,120.852
3,MCTS,3,FALSE,Minimax,5,0,0,1,2,552,9,263506,5.8475
4,MCTS,3,FALSE,Minimax,5,0,0,1,152,59681,459,1259151,142.858
0,MCTS,3,FALSE,Minimax,5,0,0,1,34,25552,105,1454582,60.477
1,MCTS,3,FALSE,Minimax,5,0,0,1,98,28195,297,1895986,184.152
2,MCTS,3,FALSE,Minimax,5,0,0,1,55,18022,168,1879459,111.635
3,MCTS,3,FALSE,Minimax,5,0,0,1,1,248,3,110993,3.59537
4,MCTS,3,FALSE,Minimax,5,0,0,1,140,49513,420,1712581,183.896
0,MCTS,3,FALSE,Minimax,5,0,0,1,36,21153,111,1818852,83.222
1,MCTS,3,FALSE,Minimax,5,0,0,1,152,57229,459,961116,141.687
2,MCTS,3,FALSE,Minimax,5,0,0,1,10,2025,33,420187,11.5923
3,MCTS,3,FALSE,Minimax,5,0,0,1,1,266,3,83981,2.70137
4,MCTS,3,FALSE,Minimax,5,0,0,1,153,54703,462,1209131,139.443
0,MCTS,3,FALSE,Minimax,5,0,0,1,52,33403,156,8987256,448.193
1,MCTS,3,FALSE,Minimax,5,0,0,1,118,28585,357,1024408,116.155
2,MCTS,3,FALSE,Minimax,5,0,0,1,6,1158,21,241802,6.3225
3,MCTS,3,FALSE,Minimax,5,0,0,1,1,252,3,110993,3.5607
4,MCTS,3,FALSE,Minimax,5,0,0,1,15,2895,48,152356,3.5895
0,MCTS,3,FALSE,Minimax,5,0,0,1,31,14493,96,1898742,80.649
1,MCTS,3,FALSE,Minimax,5,0,0,1,70,12170,213,515973,43.77
2,MCTS,3,FALSE,Minimax,5,0,0,1,99,45196,300,3967480,302.996
3,MCTS,3,FALSE,Minimax,5,0,0,1,5,1516,18,363385,8.6144
4,MCTS,3,FALSE,Minimax,5,0,0,1,152,59304,456,1315040,153.435
0,MCTS,3,FALSE,Minimax,5,0,0,1,32,15000,99,1380146,57.011
1,MCTS,3,FALSE,Minimax,5,0,0,1,81,32158,246,1659452,122.325
2,MCTS,3,FALSE,Minimax,5,0,0,1,13,3066,42,885671,27.1764
3,MCTS,3,FALSE,Minimax,5,0,0,1,1,250,6,109191,0.58983
4,MCTS,3,FALSE,Minimax,5,0,0,1,152,55627,459,1320178,143.55
0,MCTS,3,FALSE,Minimax,5,0,0,1,10,2566,33,669591,24.6153
1,MCTS,3,FALSE,Minimax,5,0,0,1,100,29734,303,2408063,208.946
2,MCTS,3,FALSE,Minimax,5,0,0,1,79,31380,240,3270347,228.024
3,MCTS,3,FALSE,Minimax,5,0,0,1,1,256,3,83981,2.81119
4,MCTS,3,FALSE,Minimax,5,0,0,1,95,34272,288,1039089,81.731
0,MCTS,3,FALSE,Minimax,5,0,0,1,5,1196,18,352282,13.2397
1,MCTS,3,FALSE,Minimax,5,0,0,1,89,23831,270,2364016,226.436
2,MCTS,3,FALSE,Minimax,5,0,0,1,8,1604,27,153854,3.0438
3,MCTS,3,FALSE,Minimax,5,0,0,1,1,270,3,81905,2.74044
4,MCTS,3,FALSE,Minimax,5,0,0,1,144,45597,435,1504134,167.471
0,MCTS,3,FALSE,Minimax,5,0,0,1,7,1722,24,937236,33.0299
0,MCTS,3,True,Minimax,5,0,0,1,33,7807,99.4582,3636997,186.149
1,MCTS,3,True,Minimax,5,0,0,1,14,1934,42.2334,243655,12.1764
2,MCTS,3,True,Minimax,5,0,0,1,5,766,15.0637,274735,10.1466
3,MCTS,3,True,Minimax,5,0,0,1,8,1781,24.0668,1483276,58.2243
4,MCTS,3,True,Minimax,5,0,0,1,158,51209,479.723,4966064,602.717
0,MCTS,3,True,Minimax,5,0,0,1,3,567,9.02939,240612,8.44321
1,MCTS,3,True,Minimax,5,0,0,1,77,18438,232.947,4012420,319.455
2,MCTS,3,True,Minimax,5,0,0,1,6,990,18.0888,402674,14.2807
3,MCTS,3,True,Minimax,5,0,0,1,10,3680,30.0603,323298,14.068
4,MCTS,3,True,Minimax,5,0,0,1,92,33029,277.18,2723258,230.69
0,MCTS,3,True,Minimax,5,0,0,1,27,6580,81.4764,1164939,54.3282
1,MCTS,3,True,Minimax,5,0,0,1,73,30220,222.559,4947553,401.643
2,MCTS,3,True,Minimax,5,0,0,1,5,732,15.0561,269187,10.2395
3,MCTS,3,True,Minimax,5,0,0,1,12,3881,36.1047,857661,36.6974
4,MCTS,3,True,Minimax,5,0,0,1,112,36095,339.49,2623122,241.168
0,MCTS,3,True,Minimax,5,0,0,1,5,1002,15.0568,550051,20.9632
1,MCTS,3,True,Minimax,5,0,0,1,11,2077,33.1024,241379,11.1035
2,MCTS,3,True,Minimax,5,0,0,1,4,608,12.0727,468630,18.1351
3,MCTS,3,True,Minimax,5,0,0,1,8,1959,24.0949,501985,20.9244
4,MCTS,3,True,Minimax,5,0,0,1,100,33418,302.707,2209770,179
0,MCTS,3,True,Minimax,5,0,0,1,5,1117,15.0659,623054,25.177
1,MCTS,3,True,Minimax,5,0,0,1,33,9729,99.82,992465,52.3581
2,MCTS,3,True,Minimax,5,0,0,1,10,1931,30.1192,722995,26.1784
3,MCTS,3,True,Minimax,5,0,0,1,8,1985,24.0602,1643865,65.4232
4,MCTS,3,True,Minimax,5,0,0,1,28,5529,84.3062,753593,34.6822
0,MCTS,3,True,Minimax,5,0,0,1,7,1390,21.076,344232,14.8778
1,MCTS,3,True,Minimax,5,0,0,1,33,8641,99.7318,765302,46.167
2,MCTS,3,True,Minimax,5,0,0,1,3,467,9.03246,201269,6.99182
3,MCTS,3,True,Minimax,5,0,0,1,9,2420,27.085,1002608,38.3248
4,MCTS,3,True,Minimax,5,0,0,1,10,1762,30.0973,242827,9.30043
0,MCTS,3,True,Minimax,5,0,0,1,13,3299,39.1193,1524075,61.4142
1,MCTS,3,True,Minimax,5,0,0,1,35,10403,105.774,701978,38.2436
2,MCTS,3,True,Minimax,5,0,0,1,10,1876,30.0958,940881,34.4205
