Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Evaluations,Total_Time,Oppo_Total_Num,Oppo_Total_Time
0,Minimax,5,TRUE,MCTS,3,1,0,0,31,3592125,143.226,26114,93
1,Minimax,5,TRUE,MCTS,3,1,0,0,121,1078195,138.923,27602,363
2,Minimax,5,TRUE,MCTS,3,1,0,0,43,1422222,67.171,16746,129
3,Minimax,5,TRUE,MCTS,3,1,0,0,2,110847,3.63382,253,3
4,Minimax,5,TRUE,MCTS,3,1,0,0,154,1156046,141.182,57137,462
0,Minimax,5,TRUE,MCTS,3,1,0,0,71,3947558,239.107,35963,213
1,Minimax,5,TRUE,MCTS,3,1,0,0,131,791085,95.849,29689,393
2,Minimax,5,TRUE,MCTS,3,1,0,0,8,195732,4.5377,1367,24
3,Minimax,5,TRUE,MCTS,3,1,0,0,3,126428,4.1746,504,6
4,Minimax,5,TRUE,MCTS,3,1,0,0,152,1283868,145.569,56776,456
0,Minimax,5,TRUE,MCTS,3,1,0,0,10,603368,20.2217,2518,30
1,Minimax,5,TRUE,MCTS,3,1,0,0,128,1994595,220.547,32562,384
2,Minimax,5,TRUE,MCTS,3,1,0,0,7,65800,0.0181,1114,21
3,Minimax,5,TRUE,MCTS,3,1,0,0,2,81905,2.70547,266,3
4,Minimax,5,TRUE,MCTS,3,1,0,0,12,102803,1.0924,2216,36
0,Minimax,5,TRUE,MCTS,3,1,0,0,13,616977,20.6938,3762,39
1,Minimax,5,TRUE,MCTS,3,1,0,0,111,2871978,274.89,33420,333
2,Minimax,5,TRUE,MCTS,3,1,0,0,24,573282,21.6436,5817,72
3,Minimax,5,TRUE,MCTS,3,1,0,0,2,81905,2.7017,265,3
4,Minimax,5,TRUE,MCTS,3,1,0,0,92,880382,68.461,40872,276
0,Minimax,5,TRUE,MCTS,3,1,0,0,34,1845057,74.138,29946,102
1,Minimax,5,TRUE,MCTS,3,1,0,0,112,2786194,267.026,33229,336
2,Minimax,5,TRUE,MCTS,3,1,0,0,52,2410184,120.852,18177,156
3,Minimax,5,TRUE,MCTS,3,1,0,0,3,263506,5.8475,552,9
4,Minimax,5,TRUE,MCTS,3,1,0,0,153,1259151,142.858,59681,459
0,Minimax,5,TRUE,MCTS,3,1,0,0,35,1454582,60.477,25552,105
1,Minimax,5,TRUE,MCTS,3,1,0,0,99,1895986,184.152,28195,297
2,Minimax,5,TRUE,MCTS,3,1,0,0,56,1879459,111.635,18022,168
3,Minimax,5,TRUE,MCTS,3,1,0,0,2,110993,3.59537,248,3
4,Minimax,5,TRUE,MCTS,3,1,0,0,140,1712581,183.896,49513,420
0,Minimax,5,TRUE,MCTS,3,1,0,0,37,1818852,83.222,21153,111
1,Minimax,5,TRUE,MCTS,3,1,0,0,153,961116,141.687,57229,459
2,Minimax,5,TRUE,MCTS,3,1,0,0,11,420187,11.5923,2025,33
